file,category,semantic_speed,circuitousness,volume,评分,评分人数,被引,下载
_水浒传_女性形象分析_张彩云,论文,0.7690643,1.1825747199160195,0.22710054308738856,,,8,11088
_校园欺凌_的概念界定及其法律责任_任海涛,论文,0.6668508,1.0621732892320712,0.27943071880005915,,,521,36217
_新质生产力_的提出逻辑_多维内涵及时代意义_高帆,论文,0.6646358,1.1461852470477558,0.23371438269118847,,,327,45066
AI虚拟男友青年女性玩家的择偶观_畸变_症因与矫治_蒲清平,论文,0.6250907,1.0667120322780281,0.25984955046890923,,,16,21600
城市形象传播_框架与策略_何国平,论文,0.65436155,1.0641094954176655,0.30064831220865584,,,648,24464
从_翻转课堂_的本质_看_翻转课堂_在我国的未来发展_何克抗,论文,0.6623397,1.0834320025880546,0.23139843889317221,,,3104,76294
大数据系统和分析技术综述_程学旗,论文,0.6781584,1.0582498334739572,0.23019372593083023,,,1661,74925
大数据系统综述_李学龙,论文,0.66746324,1.0790724053186425,0.19260445989249333,,,1000,54656
大学生婚恋观的现状及对策研究_陈昕,论文,0.66057193,1.1477303025557168,0.18719153776954822,,,17,4994
大学生消费行为的研究_张干群,论文,0.6747737,1.076854991952241,0.23822240509038076,,,76,34528
当代大学生的恋爱问题及教育应对_魏晓娟,论文,0.6183997,1.0552651212829476,0.2903478316955704,,,9,11468
当代大学生恋爱心理研究_周晓芳,论文,0.702056,1.0926233481409684,0.20940179780609391,,,24,11251
当代景观生态学的进展和展望_肖笃宁,论文,0.7473682,1.1600140218319184,0.3208056409437967,,,1171,8255
当前_中国梦_的研究综述_史为磊,论文,0.6252045,1.0511110313638647,0.26069736170319807,,,128,21284
地方感_地方依恋与地方认同等概念的辨析及研究启示_朱竑,论文,0.579193,1.0775909525197873,0.28832042006722125,,,898,25352
法治与国家治理现代化_张文显,论文,0.7163436,1.081160612106542,0.21935175648884409,,,1784,150804
共同富裕的内涵_实现路径与测度方法_刘培林,论文,0.6916934,1.0826529823029003,0.2490682352405577,,,1468,87308
